epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,3995.78,1.34597,0.70939,1.57071,0.99403,0.99478,0.99109,0.64039,1.23453,0.58514,1.68291,0.000283085,0.000283085,0.000283085
83,4043.89,1.31606,0.68727,1.56377,0.99611,0.99894,0.995,0.64841,1.18935,0.59008,1.6464,0.000268938,0.000268938,0.000268938
84,4092.13,1.33938,0.80515,1.61248,0.9969,0.99859,0.995,0.6455,1.2131,0.61849,1.66391,0.000254791,0.000254791,0.000254791
85,4140.17,1.32725,0.72961,1.54512,0.99245,0.99524,0.98946,0.64267,1.21099,0.58171,1.66617,0.000240644,0.000240644,0.000240644
86,4188.82,1.2779,0.64979,1.53783,0.99066,0.99408,0.98878,0.648,1.19953,0.59171,1.66069,0.000226497,0.000226497,0.000226497
87,4236.81,1.30304,0.66335,1.50208,0.99758,0.99917,0.995,0.63904,1.20756,0.59837,1.66031,0.000212349,0.000212349,0.000212349
88,4284.79,1.32764,0.67953,1.56272,0.99282,0.99155,0.99045,0.63682,1.20729,0.60773,1.68476,0.000198202,0.000198202,0.000198202
89,4333.16,1.41903,0.73117,1.74814,0.99667,0.9967,0.995,0.64016,1.19819,0.61775,1.65927,0.000184055,0.000184055,0.000184055
90,4381.02,1.3904,0.67934,1.60568,0.99291,0.9967,0.995,0.64727,1.20674,0.62369,1.65815,0.000169908,0.000169908,0.000169908
91,4429.45,1.3162,0.77926,1.68996,0.99636,0.99899,0.995,0.64486,1.2025,0.59672,1.65471,0.000155761,0.000155761,0.000155761
92,4477.5,1.29383,0.69513,1.62137,0.99613,1,0.995,0.64649,1.20704,0.60213,1.65507,0.000141614,0.000141614,0.000141614
93,4525.4,1.3045,0.6568,1.67005,0.99692,1,0.995,0.65533,1.19584,0.61003,1.6542,0.000127467,0.000127467,0.000127467
94,4573.53,1.25115,0.66231,1.60111,0.99702,1,0.995,0.65237,1.21159,0.57542,1.65736,0.00011332,0.00011332,0.00011332
95,4622.01,1.28993,0.64099,1.60625,0.99689,1,0.995,0.65069,1.20859,0.56271,1.64814,9.91726e-05,9.91726e-05,9.91726e-05
96,4670.27,1.30312,0.68646,1.66437,0.99309,0.99524,0.9914,0.67044,1.16849,0.55159,1.62564,8.50255e-05,8.50255e-05,8.50255e-05
97,4718.23,1.3478,0.74697,1.69131,0.99246,0.99524,0.9931,0.67101,1.17266,0.55514,1.63759,7.08784e-05,7.08784e-05,7.08784e-05
98,4766.53,1.24955,0.62441,1.60821,0.9904,0.99524,0.99325,0.66794,1.16906,0.55926,1.6347,5.67313e-05,5.67313e-05,5.67313e-05
99,4814.98,1.26383,0.61851,1.63109,0.99215,0.99524,0.99319,0.66928,1.1684,0.55844,1.62758,4.25842e-05,4.25842e-05,4.25842e-05
100,4862.97,1.26688,0.63502,1.6243,0.99325,0.99689,0.99354,0.67202,1.16993,0.56023,1.628,2.84371e-05,2.84371e-05,2.84371e-05
